calendar week,year of death,week of death,age group 00 - 09,age group 10 - 19,age group 20 - 29,age group 30 - 39,age group 40 - 49,age group 50 - 59,age group 60 - 69,age group 70 - 79,age group 80 - 89,age group 90+,sum of cases,age group 00 - 09 (%),age group 10 - 19 (%),age group 20 - 29 (%),age group 30 - 39 (%),age group 40 - 49 (%),age group 50 - 59 (%),age group 60 - 69 (%),age group 70 - 79 (%),age group 80 - 89 (%),age group 90+ (%)
2020 - 49,2020,49,2,0,2,6,17,64,242,644,1601,854,3432,0.05827505827505827,0.0,0.05827505827505827,0.17482517482517482,0.49533799533799533,1.8648018648018647,7.051282051282051,18.764568764568764,46.649184149184144,24.883449883449885
2020 - 50,2020,50,2,0,2,2,16,96,289,779,2074,1074,4334,0.046146746654360866,0.0,0.046146746654360866,0.046146746654360866,0.36917397323488693,2.2150438394093217,6.668204891555145,17.974157821873558,47.85417628057222,24.780802953391788
2020 - 51,2020,51,0,0,2,13,28,110,358,897,2535,1306,5249,0.0,0.0,0.038102495713469235,0.24766622213755002,0.5334349399885693,2.095637264240808,6.820346732710993,17.08896932749095,48.29491331682225,24.88092970089541
2020 - 52,2020,52,0,0,2,2,18,129,394,1063,2818,1414,5840,0.0,0.0,0.03424657534246575,0.03424657534246575,0.3082191780821918,2.208904109589041,6.7465753424657535,18.202054794520546,48.25342465753425,24.212328767123285
2020 - 53,2020,53,2,0,4,6,22,142,391,1070,2726,1446,5809,0.03442933379239112,0.0,0.06885866758478223,0.10328800137717334,0.3787226717163023,2.4444826992597695,6.730934756412463,18.419693578929248,46.92718195902909,24.89240833189878
2021 - 01,2021,1,2,0,0,6,15,130,393,998,2610,1342,5496,0.0363901018922853,0.0,0.0,0.10917030567685589,0.2729257641921397,2.3653566229985445,7.150655021834061,18.158660844250363,47.48908296943232,24.417758369723437
2021 - 02,2021,2,0,0,4,4,17,112,357,968,2316,1239,5017,0.0,0.0,0.07972892166633447,0.07972892166633447,0.33884791708192147,2.232409806657365,7.11580625872035,19.29439904325294,46.16304564480765,24.6960334861471
2021 - 03,2021,3,0,0,0,8,24,110,363,862,2253,1128,4748,0.0,0.0,0.0,0.16849199663016007,0.5054759898904801,2.316764953664701,7.645324347093513,18.155012636899748,47.451558550968834,23.75737152485257
2021 - 04,2021,4,0,0,2,2,19,86,314,753,1884,1002,4062,0.0,0.0,0.04923682914820286,0.04923682914820286,0.46774987690792713,2.117183653372723,7.730182176267848,18.537666174298376,46.38109305760709,24.66765140324963
2021 - 05,2021,5,0,0,2,5,17,91,293,629,1516,747,3300,0.0,0.0,0.06060606060606061,0.15151515151515152,0.5151515151515151,2.757575757575758,8.878787878787879,19.060606060606062,45.93939393939394,22.636363636363637
