date,RKI reporting date,cases cumulative,cases,deaths cumulative,deaths,case fatility rate (CFR),non-deceased reported cases,cases (mean of ±3 days),deaths (mean of ±3 days),R0 by cases (mean of ±3 days),daily proportionate increase of cases (mean of ±3 days),cases last 7 days,deaths last 7 days,"7 day incidence per 100,000 inhabitants","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants","7 day deaths per 1,000,000 inhabitants","7 day deaths (by cases (mean of ±3 days)) per 1,000,000 inhabitants","cases (mean of ±3 days) by reference date (start of illness, alternatively reporting date)","deaths (mean of ±3 days) by reference date (start of illness, alternatively reporting date)",cases (mean of ±3 days) by reporting date,deaths (mean of ±3 days) by reporting date,"7 day incidence per 100,000 inhabitants by reporting date (RKI version)","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants by reporting date (RKI version)",R value by cases (mean of ±3 days),cases last 365 days,deaths last 365 days,cases with reported start of illness (mean of ±3 days),R value by cases with reported start of illness (mean of ±3 days),"cases by reference date (start of illness, alternatively reporting date)",cases by reporting date,"new reported cases by reference date (start of illness, alternatively reporting date)",new reported cases by reporting date,"deaths by reference date (start of illness, alternatively reporting date)",deaths by reporting date,"new reported deaths by reference date (start of illness, alternatively reporting date)",new reported deaths by reporting date,new reported cases with known start of illness,new reported cases with unknown start of illness (reporting date),new reported deaths with known start of illness,new reported deaths with unknown start of illness (reporting date),cases with reported start of illness,cases with unknown start of illness (reporting date),deaths with reported start of illness,deaths with unknown start of illness (reporting date)
2020-07-19,2020-07-20,201823.0,249.0,9086.0,2.0,0.045019645927372,192737.0,444.0,3.2857142857142856,1.119593586875466,1.0113895216400912,2860.0,22.0,3.438875922362735,3.480444752193493,0.2645289171048258,0.27998839927328956,542.1428571428571,5.428571428571429,480.85714285714283,,3.637272610191354,3.6515296881911596,1.119593586875466,201807.0,9086.0,324.7142857142857,1.165761607385284,388.0,179.0,,,8.0,4.0,,,,,,,280.0,108.0,5.0,3.0
2020-07-20,2020-07-21,202345.0,522.0,9090.0,4.0,0.0449232746052534,193255.0,477.14285714285717,4.142857142857143,1.12420124201242,1.0746460746460746,2970.0,22.0,3.571140380915148,3.596390868456972,0.2645289171048258,0.28170611951423,562.7142857142857,5.0,501.0,,3.789977939610958,3.7874013592495475,1.12420124201242,202329.0,9090.0,339.42857142857144,1.1714285714285717,611.0,453.0,,,7.0,4.0,,,,,,,398.0,213.0,5.0,2.0
2020-07-21,2020-07-22,202799.0,454.0,9095.0,5.0,0.0448473611802819,193704.0,513.1428571428571,5.0,1.1486510161177297,1.075449101796407,3073.0,24.0,3.6949880102869526,3.729685959153949,0.28857700047799173,0.30231876240551514,592.2857142857143,4.857142857142857,541.4285714285714,,3.858514977224481,3.955222626789427,1.1486510161177297,202783.0,9095.0,349.2857142857143,1.1730453454591385,598.0,522.0,,,4.0,4.0,,,,,,,371.0,227.0,3.0,1.0
2020-07-22,2020-07-23,203368.0,569.0,9101.0,6.0,0.0447513866488336,194267.0,527.8571428571429,4.857142857142857,1.1766469630771867,1.0286748329621382,3108.0,23.0,3.737072156189993,3.8885750814409388,0.27655295879140873,0.3246491255377407,605.0,5.0,556.0,5.285714285714286,4.047292431703834,4.112394028835476,1.1766469630771867,203352.0,9101.0,359.7142857142857,1.1672131147540983,680.0,697.0,,,6.0,9.0,,,,,,,399.0,281.0,4.0,2.0
2020-07-23,2020-07-24,204183.0,815.0,9111.0,10.0,0.0446217363835382,195072.0,540.8571428571429,4.571428571428571,1.1999833485971192,1.0246278755074425,3340.0,29.0,4.016029923318718,4.047635975752023,0.34869720891090666,0.341826327947145,615.1428571428571,4.428571428571429,560.5714285714286,,4.216831419484654,4.26681707849602,1.1999833485971192,204167.0,9111.0,363.7142857142857,1.1511587283102365,634.0,694.0,,,4.0,3.0,,,,,,,351.0,283.0,4.0,
2020-07-24,2020-07-25,204964.0,781.0,9118.0,7.0,0.0444858609316758,195846.0,556.7142857142857,4.571428571428571,1.1984628932831638,1.0293185419968303,3592.0,35.0,4.31903577382061,4.2068686420871995,0.4208414590304046,0.3590035303565492,626.0,4.428571428571429,571.1428571428571,,4.557111799214953,4.412136210879581,1.1984628932831638,204948.0,9118.0,372.42857142857144,1.1317968225553814,735.0,805.0,,,3.0,10.0,,,,,,,386.0,349.0,2.0,1.0
2020-07-25,2020-07-26,205269.0,305.0,9118.0,0.0,0.0444197613862784,196151.0,589.5714285714286,4.714285714285714,1.182414397925723,1.059019758788812,3695.0,34.0,4.442883403192414,4.387916355482321,0.4088174173438216,0.374463012525013,645.0,4.285714285714286,604.4285714285714,,4.679757024418099,4.587687219503692,1.1824143979257227,205253.0,9118.0,377.2857142857143,1.1103693334769031,589.0,542.0,,,3.0,3.0,,,,,,,333.0,256.0,2.0,1.0
2020-07-26,2020-07-27,205609.0,340.0,9118.0,0.0,0.0443463077978104,196491.0,637.1428571428571,4.714285714285714,1.1845649799781577,1.0806881511994184,3786.0,32.0,4.55230218254032,4.620152132057467,0.38476933397065566,0.3916402149344173,658.8571428571429,4.142857142857143,634.8571428571429,,4.718233957815165,4.77285746147707,1.1845649799781577,205593.0,9118.0,375.57142857142856,1.0843736995422388,459.0,211.0,,,4.0,,,,,,,,308.0,151.0,4.0,
2020-07-27,2020-07-28,206242.0,633.0,9122.0,4.0,0.0442295943600236,197120.0,645.0,4.285714285714286,1.1794213557205302,1.0123318385650224,3897.0,32.0,4.685769045261391,4.821984260367966,0.38476933397065566,0.3933579351753578,675.2857142857143,4.285714285714286,658.5714285714286,,4.807211866295879,4.962322004052799,1.1794213557205302,206226.0,9122.0,380.42857142857144,1.0662620131512393,687.0,527.0,,,7.0,7.0,,,,,,,459.0,228.0,3.0,4.0
2020-07-28,2020-07-29,206926.0,684.0,9128.0,6.0,0.0441123880034408,197798.0,669.8571428571429,4.285714285714286,1.188443553774215,1.0385382059800665,4127.0,33.0,4.962322004052799,5.010418170799131,0.39679337565723866,0.3847693339706556,691.2857142857143,6.0,674.1428571428571,,5.087372037593262,5.121898214436165,1.188443553774215,206910.0,9128.0,380.2857142857143,1.0473507315144324,731.0,755.0,,,3.0,5.0,,,,,,,405.0,326.0,1.0,2.0
2020-07-29,2020-07-30,207828.0,902.0,9134.0,6.0,0.0439498046461497,198694.0,660.5714285714286,3.2857142857142856,1.1794904869396967,0.9861377692471741,4460.0,33.0,5.362722592216013,5.169994381182496,0.39679337565723866,0.3658744113203109,706.2857142857143,5.714285714285714,676.8571428571429,,5.34348412551748,5.267217346819725,1.1794904869396967,207812.0,9134.0,393.42857142857144,1.0384018619084563,777.0,910.0,,,5.0,5.0,,,,,,,387.0,390.0,4.0,1.0
2020-07-30,2020-07-31,208698.0,870.0,9141.0,7.0,0.0438001322485122,199557.0,684.7142857142857,4.285714285714286,1.1444990780577753,1.0365484429065743,4515.0,30.0,5.428854821492219,5.342968809445198,0.36072125059748966,0.36243897083843,721.0,5.428571428571429,690.2857142857143,5.285714285714286,5.543083217514758,5.4231863446971165,1.1444990780577753,208682.0,9141.0,406.2857142857143,1.0479708337330904,749.0,860.0,,,5.0,5.0,,,,,,,385.0,364.0,4.0,1.0
2020-07-31,2020-08-01,209653.0,955.0,9148.0,7.0,0.0436340047602466,200505.0,719.8571428571429,4.857142857142857,1.1262427201600094,1.0513248487377427,4689.0,30.0,5.638073146838764,5.5391324609605945,0.36072125059748966,0.3658744113203109,753.2857142857143,5.0,728.8571428571429,5.428571428571429,5.674145271898512,5.612822659296939,1.1262427201600094,209637.0,9148.0,418.14285714285717,1.0613851992409866,847.0,914.0,,,15.0,13.0,,,,,,,385.0,462.0,4.0,11.0
