date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-09-14,1720.0,1673.0,1777.0,1.15,1.14,1.16,1734.5714285714287,1.1429660787641747,1703.0,1658.0,1755.0,1.01,1.01,1.02,1799.857142857143,1.0485363708698021,1.0723340148498872,1.0473680006390287
2020-09-15,1801.0,1752.0,1856.0,1.14,1.12,1.15,1764.142857142857,1.136716332651021,1639.0,1591.0,1687.0,1.01,1.0,1.02,1817.857142857143,1.0326086956521738,1.0485363708698021,1.0660575968222443
2020-09-16,1888.0,1839.0,1941.0,1.12,1.1,1.13,1778.7142857142858,1.1211515026097354,1756.0,1704.0,1803.0,1.02,1.01,1.03,1846.4285714285713,1.0271658878977286,1.0326086956521738,1.0853091768412761
2020-09-17,1924.0,1876.0,1977.0,1.07,1.06,1.08,1785.0,1.098844187597244,1869.0,1815.0,1915.0,1.04,1.03,1.05,1888.7142857142858,1.032994821980492,1.0271658878977286,1.101573732271226
2020-09-18,1820.0,1773.0,1873.0,1.03,1.02,1.05,1790.142857142857,1.0723340148498872,2014.0,1956.0,2063.0,1.06,1.05,1.07,1939.5714285714287,1.0473680006390287,1.032994821980492,1.1143227577791337
2020-09-19,1703.0,1658.0,1755.0,1.01,1.01,1.02,1799.857142857143,1.0485363708698021,2124.0,2064.0,2176.0,1.09,1.08,1.1,1993.2857142857142,1.0660575968222443,1.0473680006390287,1.1270586481854086
2020-09-20,1639.0,1591.0,1687.0,1.01,1.0,1.02,1817.857142857143,1.0326086956521738,2116.0,2059.0,2173.0,1.11,1.1,1.12,2051.5714285714284,1.0853091768412761,1.0660575968222443,1.143253737842938
2020-09-21,1756.0,1704.0,1803.0,1.02,1.01,1.03,1846.4285714285713,1.0271658878977286,2059.0,2002.0,2118.0,1.12,1.11,1.13,2115.285714285714,1.101573732271226,1.0853091768412761,1.166601996543088
2020-09-22,1869.0,1815.0,1915.0,1.04,1.03,1.05,1888.7142857142858,1.032994821980492,2015.0,1961.0,2073.0,1.12,1.11,1.13,2189.0,1.1143227577791337,1.101573732271226,1.1984121552255151
2020-09-23,2014.0,1956.0,2063.0,1.06,1.05,1.07,1939.5714285714287,1.0473680006390287,2164.0,2107.0,2227.0,1.13,1.12,1.14,2286.4285714285716,1.1270586481854086,1.1143227577791337,1.2367263951335625
2020-09-24,2124.0,2064.0,2176.0,1.09,1.08,1.1,1993.2857142857142,1.0660575968222443,2315.0,2256.0,2382.0,1.15,1.13,1.16,2410.285714285714,1.143253737842938,1.1270586481854086,1.2775405907280144
2020-09-25,2116.0,2059.0,2173.0,1.11,1.1,1.12,2051.5714285714284,1.0853091768412761,2530.0,2465.0,2594.0,1.19,1.17,1.2,2563.4285714285716,1.166601996543088,1.143253737842938,1.3159167876149005
2020-09-26,2059.0,2002.0,2118.0,1.12,1.11,1.13,2115.285714285714,1.101573732271226,2806.0,2734.0,2877.0,1.23,1.22,1.24,2745.5714285714284,1.1984121552255151,1.166601996543088,1.347315819531696
2020-09-27,2015.0,1961.0,2073.0,1.12,1.11,1.13,2189.0,1.1143227577791337,2983.0,2911.0,3051.0,1.28,1.26,1.29,2968.8571428571427,1.2367263951335625,1.1984121552255151,1.3654917999919804
2020-09-28,2164.0,2107.0,2227.0,1.13,1.12,1.14,2286.4285714285716,1.1270586481854086,3131.0,3057.0,3201.0,1.31,1.3,1.33,3221.285714285714,1.2775405907280144,1.2367263951335625,1.3691082565160135
2020-09-29,2315.0,2256.0,2382.0,1.15,1.13,1.16,2410.285714285714,1.143253737842938,3290.0,3218.0,3359.0,1.36,1.35,1.37,3498.5714285714284,1.3159167876149005,1.2775405907280144,1.3592486213235295
