date,number of reporting areas,COVID-19 cases,occupied intensive care beds,free intensive care beds,emergency reserve,intensive care patients with positive COVID-19 test,invasively ventilated,with treatment completed,thereof deceased,intensive care patients without positive COVID-19 test,in intensive care treatment (change from previous day),thereof invasively ventilated (change from previous day),with treatment completed (change from previous day),thereof deceased (change from previous day),newly admitted intensive care patients with a positive COVID-19 test,newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),intensive care patients with positive COVID-19 test (mean ±3 days),thereof invasively ventilated (mean ±3 days),invasively ventilated (%),Proportion of occupied intensive care beds (%),Proportion of occupied intensive care beds incl. emergency reserve (%),Proportion of patients with positive COVID-19 test in occupied intensive care beds (%),Proportion of patients with positive COVID-19 test in available intensive care beds without emergency reserve (%),Proportion of patients with positive COVID-19 test in available intensive care beds incl. emergency reserve (%),intensive care patients with positive COVID-19 test (change from previous day),"intensive care patients with positive COVID-19 test (change from previous day, mean ±3 days)",not invasively ventilated,invasively ventilated (change from previous day),invasively ventilated (mean ±3 days),number of intensive care beds,number of intensive care beds incl. emergency reserve,number of occupied intensive care beds (mean ±3 days),"with treatment completed (change from previous day, mean ±3 days)",R value calculated by newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test,calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),R value by calculated onset of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days)
2020-10-14,1662.0,602.0,21488.0,8703.0,12320.0,602.0,323.0,18381.0,4319.0,20886.0,-16.0,4.0,103.0,6.0,87.0,99.0,632.8571428571429,316.85714285714283,53.65448504983389,71.17352853499386,50.54691726847169,2.8015636634400596,1.9939717134245305,1.4161040671826115,-16.0,28.571428571428573,279.0,4.0,316.85714285714283,30191.0,42511.0,21267.571428571428,70.71428571428571,1.147961328289197,370.0,296.42857142857144,1.3359073359073357
2020-10-15,1666.0,655.0,21503.0,8713.0,12391.0,655.0,329.0,18502.0,4341.0,20848.0,53.0,6.0,121.0,22.0,174.0,105.42857142857143,664.8571428571429,328.1428571428572,50.229007633587784,71.16428382314007,50.46823291947332,3.046086592568479,2.167725708234048,1.5373060764663085,53.0,32.0,326.0,6.0,328.14285714285717,30216.0,42607.0,21237.571428571428,73.42857142857143,1.1323886639676113,338.0,312.0,1.2817970565453138
2020-10-16,1667.0,690.0,21546.0,8657.0,12381.0,690.0,341.0,18560.0,4351.0,20856.0,35.0,12.0,58.0,10.0,93.0,124.71428571428571,702.1428571428571,342.85714285714283,49.42028985507246,71.33728437572427,50.5964681570543,3.2024505708716235,2.284541270734695,1.6203268833364644,35.0,37.285714285714285,349.0,12.0,342.85714285714283,30203.0,42584.0,21211.14285714286,87.42857142857143,1.154534838458544,381.0,349.7142857142857,1.2621512798389418
2020-10-17,1667.0,731.0,21244.0,8810.0,12359.0,730.0,345.0,18644.0,4363.0,20513.0,40.0,4.0,84.0,12.0,124.0,130.42857142857142,739.4285714285714,356.0,47.26027397260274,70.686098356292,50.08841628745904,3.4409715684428543,2.43228854728156,1.7235281635347655,41.0,37.285714285714285,385.0,4.0,356.0,30054.0,42413.0,21208.714285714286,93.14285714285714,1.2153381186248584,234.0,364.42857142857144,1.2229854689564068
2020-10-18,1666.0,769.0,20665.0,9355.0,12340.0,769.0,354.0,18713.0,4375.0,19896.0,39.0,9.0,69.0,12.0,108.0,145.0,788.1428571428571,370.4285714285714,46.03381014304291,68.83744170552964,48.78423040604344,3.7212678441809826,2.5616255829447034,1.8153918791312558,38.0,48.714285714285715,415.0,9.0,370.42857142857144,30020.0,42360.0,21198.285714285714,96.28571428571429,1.2958623214939584,293.0,379.85714285714283,1.2367429002261878
2020-10-19,1669.0,851.0,20712.0,9441.0,12397.0,851.0,389.0,18814.0,4389.0,19861.0,82.0,35.0,101.0,14.0,183.0,157.42857142857142,841.7142857142857,389.0,45.710928319623974,68.68968261864491,48.67685076380728,4.108729239088451,2.822273073989321,2.0,82.0,53.57142857142857,462.0,35.0,389.0,30153.0,42550.0,21194.0,103.85714285714286,1.3954236682159458,455.0,389.85714285714283,1.2553782934493594
2020-10-20,1668.0,879.0,21303.0,8870.0,12358.0,879.0,411.0,18930.0,4402.0,20424.0,28.0,22.0,116.0,13.0,144.0,180.71428571428572,903.2857142857143,408.57142857142856,46.75767918088737,70.60285685878102,50.08817098116668,4.126179411350514,2.913200543532297,2.066727798546942,28.0,61.57142857142857,468.0,22.0,408.57142857142856,30173.0,42531.0,21221.14285714286,119.14285714285714,1.44807821982468,480.0,395.7142857142857,1.2201207701948273
2020-10-21,1666.0,943.0,21415.0,8478.0,12525.0,943.0,424.0,19055.0,4420.0,20472.0,64.0,13.0,125.0,18.0,189.0,195.71428571428572,970.8571428571429,435.4285714285714,44.962884411452805,71.63884521459873,50.485642887453444,4.403455521830493,3.154584685377847,2.223112829459192,64.0,67.0,519.0,13.0,435.42857142857144,29893.0,42418.0,21246.428571428572,128.14285714285714,1.4771526266708115,478.0,419.42857142857144,1.1983149708360337
2020-10-22,1666.0,1030.0,21473.0,8184.0,12677.0,1030.0,459.0,19229.0,4443.0,20443.0,87.0,35.0,174.0,23.0,261.0,206.57142857142858,1046.142857142857,467.4285714285714,44.5631067961165,72.4044913511144,50.72282326262578,4.7967214641643,3.4730417776578886,2.4330325506684933,87.0,75.0,571.0,35.0,467.42857142857144,29657.0,42334.0,21281.14285714286,131.28571428571428,1.4645380050861827,408.0,410.14285714285717,1.1487502540134118
2020-10-23,1670.0,1121.0,21736.0,7784.0,12727.0,1121.0,478.0,19394.0,4461.0,20615.0,91.0,19.0,165.0,18.0,256.0,207.71428571428572,1119.142857142857,500.71428571428567,42.64049955396967,73.63143631436314,51.44980708689374,5.1573426573426575,3.7974254742547426,2.6534428480128764,91.0,72.71428571428571,643.0,19.0,500.7142857142857,29520.0,42247.0,21325.85714285714,134.71428571428572,1.4181398923904691,422.0,402.85714285714283,1.097236930778858
