calendar week,Not documented in an outbreak,Private household,Retirement/nursing home,Work place,Educational institution,Leisure,Overnight stay,Other,Unknown,Residences,Refugee accomodation,Health care centre,Medical practice,Medical rehabilitation,"Kindergarten, after-school child care",Dining venue,Public transport,Hospital,Care facility,Day-care centre for the elderly,Residential home,sum of cases,Not documented in an outbreak (%),Private household (%),Retirement/nursing home (%),Work place (%),Educational institution (%),Leisure (%),Overnight stay (%),Other (%),Unknown (%),Residences (%),Refugee accomodation (%),Health care centre (%),Medical practice (%),Medical rehabilitation (%),"Kindergarten, after-school child care (%)",Dining venue (%),Public transport (%),Hospital (%),Care facility (%),Day-care centre for the elderly (%),Residential home (%)
2020 - 46,107461,8224,4747,1021,644.0,247.0,38.0,303,2160,439.0,520.0,23.0,150.0,82.0,358.0,34.0,11.0,620.0,242.0,318.0,140.0,127782,84.09713418165313,6.435961246497941,3.7149207243586733,0.79901707595749,0.5039833466372415,0.19329796058912835,0.029738147782942825,0.23712259942714936,1.6903789266093816,0.34355386517662895,0.40694307492448073,0.01799940523704434,0.11738742545898484,0.06417179258424505,0.2801646554287771,0.026607816437369893,0.008608411200325555,0.4852013585638039,0.1893850464071622,0.24886134197304785,0.10956159709505252
2020 - 47,105453,7995,6439,1095,867.0,98.0,17.0,370,2359,571.0,520.0,33.0,178.0,94.0,526.0,6.0,10.0,859.0,343.0,330.0,195.0,128358,82.15537792735942,6.228672930397794,5.016438398853207,0.8530827840882531,0.6754545879493292,0.07634896149830941,0.013244207606849594,0.28825628320790286,1.8378285732093051,0.44484956138300685,0.4051169385624581,0.02570934417800215,0.1386746443540722,0.07323267735552128,0.4097913647766403,0.004674426214182209,0.007790710356970348,0.6692220196637529,0.26722136524408296,0.25709344178002147,0.1519188519609218
2020 - 48,99939,7359,7082,1040,793.0,93.0,19.0,453,2429,471.0,618.0,41.0,163.0,98.0,401.0,4.0,10.0,1064.0,455.0,430.0,196.0,123158,81.14698192565648,5.975251303204014,5.750336965523961,0.844443722697673,0.6438883385569756,0.07551275597200344,0.015427337241592102,0.3678201984442748,1.9722632715698531,0.3824355705678884,0.5017944429107326,0.033290569837119796,0.13235031423050064,0.0795725815618961,0.32559801230939117,0.0032478604719141267,0.008119651179785315,0.8639308855291578,0.3694441286802319,0.34914500073076865,0.1591451631237922
2020 - 49,103558,6861,8286,1291,1054.0,90.0,8.0,582,2475,365.0,437.0,65.0,196.0,125.0,447.0,1.0,5.0,1406.0,412.0,571.0,124.0,128359,80.67840977259092,5.345164733287109,6.455332310161345,1.005772871399746,0.8211344744038205,0.07011584696047803,0.00623251972982027,0.45341581034442463,1.9281857914131462,0.2843587126730498,0.34045139024143223,0.05063922280478969,0.1526967333805966,0.09738312077844172,0.3482420399037076,0.0007790649662275337,0.0038953248311376686,1.0953653425159124,0.3209747660857439,0.44484609571592176,0.09660405581221418
2020 - 50,125218,7826,10696,1591,859.0,50.0,6.0,617,3110,559.0,513.0,110.0,190.0,220.0,595.0,3.0,2.0,2179.0,825.0,902.0,221.0,156292,80.11798428582398,5.007294039362219,6.843600440201674,1.017966370639572,0.5496122642233768,0.03199140071148875,0.0038389680853786507,0.3947738847797712,1.9898651242546004,0.3576638599544442,0.3282317712998746,0.07038108156527526,0.12156732270365725,0.1407621631305505,0.38069766846671615,0.0019194840426893253,0.0012796560284595501,1.3941852430066797,0.5278581117395643,0.577124868835257,0.14140199114478028
2020 - 51,142018,7855,12471,1489,631.0,59.0,10.0,631,3040,625.0,580.0,116.0,177.0,253.0,700.0,4.0,1.0,2273.0,657.0,856.0,254.0,174700,81.2925014310246,4.496279336004579,7.138523182598741,0.8523182598740698,0.3611906124785346,0.03377218088151116,0.005724098454493417,0.3611906124785346,1.7401259301659988,0.3577561534058386,0.3319977103606182,0.06639954207212365,0.10131654264453349,0.14481969089868346,0.40068689181453926,0.002289639381797367,0.0005724098454493418,1.3010875787063538,0.3760732684602175,0.4899828277046365,0.1453921007441328
2020 - 52,114144,5619,10892,746,237.0,24.0,8.0,403,2205,504.0,367.0,111.0,136.0,307.0,250.0,1.0,,1732.0,460.0,546.0,258.0,138950,82.14753508456279,4.043900683699173,7.838790931989924,0.5368837711406981,0.1705649514213746,0.01727240014393667,0.005757466714645556,0.2900323857502699,1.5869017632241813,0.36272040302267,0.2641237855343649,0.0798848506657071,0.09787693414897444,0.2209427851745232,0.17992083483267363,0.0007196833393306946,,1.2464915437207629,0.3310543360921195,0.39294710327455923,0.18567830154731918
2020 - 53,98398,6867,11299,572,61.0,53.0,,394,1701,442.0,345.0,63.0,141.0,126.0,99.0,4.0,2.0,1458.0,356.0,493.0,195.0,123069,79.95352200797926,5.579796699412524,9.181028528711536,0.4647799202073633,0.049565690791344694,0.043065272326906046,,0.3201456093736034,1.3821514760012676,0.3591481201602353,0.28033054627891674,0.05119079540745436,0.11456987543573117,0.10238159081490872,0.08044267849742827,0.003250209232219324,0.001625104616109662,1.1847012651439437,0.2892686216675198,0.4005882878710317,0.15844770007069206
2021 - 01,116438,9416,12315,677,51.0,126.0,,325,1914,473.0,212.0,71.0,189.0,208.0,32.0,3.0,1.0,1792.0,506.0,451.0,239.0,145439,80.05968137844732,6.474191929262441,8.46746746058485,0.4654872489497315,0.0350662477052235,0.08663425903643451,,0.22346138243524777,1.3160156491725052,0.3252222581288375,0.14576557869622317,0.048817717393546435,0.12995138855465177,0.14301528475855857,0.022002351501316703,0.002062720453248441,0.000687573484416147,1.2321316840737353,0.3479121831145704,0.3100956414716823,0.1643300627754591
2021 - 02,92493,7388,11605,854,42.0,108.0,1.0,345,1745,392.0,349.0,110.0,236.0,101.0,185.0,5.0,3.0,1996.0,431.0,321.0,177.0,118887,77.79908652754295,6.214304339414738,9.761370040458587,0.7183291697157805,0.03532766408438265,0.09084256478841253,0.0008411348591519679,0.2901915264074289,1.4677803292201839,0.3297248647875714,0.29355606584403676,0.09252483450671646,0.19850782675986442,0.08495462077434875,0.15560994894311403,0.004205674295759839,0.0025234045774559033,1.678905178867328,0.36252912429449813,0.2700042897877817,0.1488808700698983
